index,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,surroundings_summary
2666,,Oud-Oost,52.35689,4.91209,Entire home/apt,160,3,8,0.18,1,0,0,holland,"The area features a variety of dining options including Marhaba, Sinbad, Mr Rooster, Pizzeria Steakhouse Oost, and Rascasse, alongside retail shops such as Dierenwinkel Amsterdam, Tabak Mobi Shop, Roba, and East Cycling. Fitness and nightlife are represented by PLTS, Rocycle Oost, Euphoria, and Nova."
1167,,Zuid,52.35983,4.88009,Entire home/apt,263,3,72,1.01,4,289,13,holland,"The area features a selection of high-end retail options including Cucinelli, Dior, Dolce & Gabbana, Hermès, Liu Jo, Maxies, Oger, Philipp Plein, The Kooples, Tiffany & Company, and Wolford. Accommodations are provided by Hotel Jan Luyken Amsterdam."
2908,,Oostelijk Havengebied - Indische Buurt,52.36321,4.93647,Entire home/apt,136,3,1,0.04,1,96,0,holland,"The area features a variety of dining options including Eatmosfera, Döner van Oost, Volendammer Vishandel, Warda2, and Çinar, alongside retail and service establishments like Div., Gogun & Son, Stomerij en kledingreparatie Medina, and The Barbers Office."
5350,,Centrum-West,52.37451,4.88365,Entire home/apt,395,3,0,,6,95,0,holland,"The area features dining options like Pancakes Amsterdam, Haringkar de Gigant, and Cheese Store, alongside services such as Thejo's Bloemen, Stromma, and Tours & Tickets. Notable landmarks include the Anne Frank house, which offers historical insight into the city, as well as the Westerkerk and its iconic Westertoren, a significant architectural site overlooking the neighborhood."
2091,,Centrum-Oost,52.36804,4.89773,Entire home/apt,174,3,286,5.25,1,57,59,holland,"The area features a variety of retail shops including @droog, ABCND STORE, DSIGN, Marbles Vintage, Vet Du Nord, Zamalia, and Zooful, alongside jewelry specialists The Antique Ring Shop and the jewelry store Kota. Dining and refreshment options include the deli Sterk Staaltje, the cafe and coffee spot, and the Thai restaurant Krua Thai, while the Amstel Canal Guest House provides local accommodation."
2297,,Centrum-Oost,52.36597,4.89975,Entire home/apt,240,3,168,3.46,1,192,34,holland,"The area features a variety of dining options including Café Langereis, Restaurant 212, Ichisin Ramen Hokkaido, Lo Stivale d'Oro, La Panetteria, Ribs Factory, Salsa shop, and tasty burger, alongside nightlife spots like Air, Gollem, and Coffeeshop Kooi. Our House serves as a cultural landmark, acting as a museum dedicated to the history and evolution of electronic music."
4082,,De Pijp - Rivierenbuurt,52.35764,4.88919,Private room,79,1,19,0.77,1,168,9,holland,"The area features dining options like Café Caron, Petit Caron, and Linguini Trattoria, alongside breakfast spots such as Flow and Locals Coffee. You will also find retail and wellness services including De Föhnbar, De Steek, Five City Spa, and the art spaces Galerie Sauvage and Galerie van Campen."
3466,,De Baarsjes - Oud-West,52.36312,4.8756,Entire home/apt,255,3,13,0.42,1,128,4,holland,"The area features daily conveniences including Centraal Stomerij, Copy Plaza, Primera, GoodNews, Wittop Koning, and the hairdresser BrainWash. Dining and social options include Café Helmers, Janus, Kartika, Toko Ikan Mas, Un., and the Princess Hostel, while the GVB Servicepunt serves as a transit hub for local travel."
651,,De Pijp - Rivierenbuurt,52.35585,4.90106,Entire home/apt,130,3,33,0.49,1,0,0,holland,"The area features diverse dining options including FEBO, Chef Juzzev, Meng Si, Yu Fung, and Pizza Beppe, alongside retail and services like Ace & Tate, Grapedistrict, Ido's Cutting Crew, Look Ahead, and a massage studio. Cultural and leisure spots include the garden Het Kabinet, the gallery Wim Heldens Atelier/Studio, and Coffeeshop Carmona."
60,,De Pijp - Rivierenbuurt,52.35699,4.89705,Entire home/apt,200,3,27,0.26,1,363,0,holland,"The area features dining options including Thai Roof, Warung Swietie Lelydorp, and the pub Café De Baron, alongside retail services such as Albert Heijn, Gall & Gall, and Hairstudio Pu-ma. Local amenities include Boksschool VBSK Albert Cuyp, Dental 220, Partou, Taalhuis Amsterdam, and the cultural venue Badcuyp, which serves as a notable community hub for local arts and events."
440,,Centrum-West,52.37847,4.88475,Entire home/apt,175,2,70,0.76,2,0,0,holland,"The area features a variety of dining options including Ko Chang, Hinata, Schout bij-nacht, Terre Lente, and La maison de sophie, alongside retail shops such as Albert Heijn, Kilo, Mechanisch Speelgoed, Petopia, The Browbarber, and De Gouden Scaar. It is also home to the Lapjesmarkt, a well-known market that serves as a historic and vibrant hub for textile shopping in the neighborhood, and World of Nix."
1557,,Centrum-West,52.36861,4.88607,Entire home/apt,210,7,78,1.19,3,340,0,holland,"The area features a mix of retail and dining options including Ace & Tate, Beadies Amsterdam, Motel a Miio, Profumo, Rain Kiss, The Odder Side, Zipper Vintage Clothing, and Chocolaterie Pompadour, alongside the cafe Dae. Cultural life is centered around the Art Zoo Museum, a notable local attraction, and the arts centre De Vrije Academie."
1764,,De Baarsjes - Oud-West,52.36412,4.86165,Entire home/apt,200,2,39,0.69,1,34,1,holland,"The area features dining options such as Aleppo Top, ByLima, Finalemente Brasil, The Burger Maffia, The Burger Mafia, and Bobos Chicken, alongside retail and services including De Kinker, Kinker, 't Saotohuisje, DA drogist, Snel Repair, and Pakketdienst de Kinker. These establishments provide a mix of local eateries, clothing and bag retail, and essential daily services like a chemist, laundry, and post office."
688,,De Baarsjes - Oud-West,52.36744,4.86625,Entire home/apt,236,3,11,0.14,1,9,4,holland,"The area features a variety of dining and retail options, including cafes like Cafe Topido, Fika Amsterdam, and Sam's Coffee, alongside bakeries and specialty shops such as Ad Straathof Marktbakkerij, Abraham Bloemen & Planten, and Blooming Interior. You will also find local nightlife and shopping at Bar Centraal, Harchane, EFFECT(S), and A. Mog Tweedehands, centered around the Ten Katemarkt, a prominent local market that serves as a primary hub for neighborhood commerce."
2311,,De Pijp - Rivierenbuurt,52.35788,4.88937,Entire home/apt,629,3,7,0.13,1,11,1,holland,"The area features dining options like Linguini Trattoria, Petit Caron, and Locals Coffee, alongside retail and services including Van Beek Art Supplies, Shortcut & Hardwear, Five City Spa, Amsterdam Cosmetic Clinic, and Aston City Hotel. Local culture and nightlife are represented by the public artwork and the BonTon club."
2232,,De Baarsjes - Oud-West,52.37113,4.8581,Entire home/apt,181,2,27,1.65,1,363,2,holland,"The area features a variety of dining options including Konya Etliekmek, Lara, Maz Mez, Napoli Pizza, and WONTON, alongside a bakery at Fort Negen and a cafe at Marja. Local retail and specialty shops include Albert Heijn, Grapedistrict, and a tattoo studio."
5194,,Bos en Lommer,52.37869,4.85029,Entire home/apt,100,4,0,,1,0,0,holland,"The area features a variety of dining options including Aytaco, Kahvealti, Lezzet Grillroom, and Cafe 't Lommertje, alongside daily essentials from Slagerij Beyaz Saray, Odin, SIMO, Etos, Primera, and De Prijshamer. Personal care services are provided by Cinderella and Sorti Beatycenter."
2795,,Centrum-West,52.3757,4.89724,Private room,71,3,76,1.77,2,0,17,holland,"The area features dining and cafes such as Croissanterie, Dal Pagliaccio, New York Film Academy Cafe, and Tony's Chocolonely, alongside nightlife spots like De Deugniet, The Brokers Bar, and The Grasshopper. Local landmarks include Beurs van Berlage, a historic stock exchange building, Rederij Plas for canal tours, and the erotic shop Smart, while Meet Berlage serves as a local coworking space."
1142,,Centrum-West,52.38014,4.89345,Entire home/apt,266,7,65,2.68,2,72,0,holland,"The area features dining and cafe options including Maoz Falafel, Vinnies, Miss B by la Grotte, and Dampkring, alongside retail shops such as Vitaminstore, BrandMission, and Las Marias. The neighborhood also includes local accommodations like B&B Barangay, the recreational space Popeye, and the cannabis shop Popeye."
2497,,De Pijp - Rivierenbuurt,52.35549,4.88881,Entire home/apt,130,2,28,0.75,2,20,5,holland,"The area features dining and cafe options such as Layers Bakery & Deli, Reload Coffee, Brasserie SenT, Maris Piper Brasserie, and La Dilettante, alongside specialty shops like Amsterdam Wine Academy, Wijnhandel van Krimpen, Fenix Books, and Micky Fields. Local services include the hairdresser Shah Saatchi and the laundry Wassalon Regenboog."
4888,,Zuid,52.35913,4.87816,Private room,76,1,65,11.96,7,365,65,holland,"The area features a variety of retail options including clothing stores like Essentiel Antwerp, Hilfiger, Massimu Dutti, Petit Bateau, Reflections, and The Society Shop, alongside jewelry from Bonebakker, home goods at Zara Home, and an optician at Oogappel. The neighborhood is anchored by the Conservatorium hotel, a landmark building known for its historic architecture and role as a prominent local destination."
5426,,Centrum-West,52.38062,4.88465,Entire home/apt,250,2,0,,1,38,0,holland,"The area features a variety of dining options including Saint-Jean, Leauf, Bagelboy, Snackbar Aggie, Erdim, Louman, Luna, and Som Tam Thai, alongside food retailers like the butcher and greengrocer. Cultural and essential services are represented by Kersgallery, the marketplace Lindenmarkt, which is a well-known local market central to the neighborhood's character, and Dierenkliniek de Jordaan."
1273,,Centrum-Oost,52.36051,4.89089,Entire home/apt,247,2,46,0.65,1,0,0,holland,"The area features dining and cafes such as Broodjeszaak Etenstijd, Proper. Indofood, Luuk's Coffee, and Pinuku, alongside retail and services including De Badjassenwinkel, Deninie, Le Patron, Underground Ink, Van Dulst Kappers, and Wash Queen Laundry."
1245,,Zuid,52.35091,4.85365,Entire home/apt,118,4,18,0.25,1,219,0,holland,"The area features daily essentials including supermarkets Albert Heijn and Mensink, a bakery at Klavertje, a greengrocer at Kokkes, and a coffee shop at Simons Tafel. Local services and retail options include the pet shop 't Dierenhoekje, the bicycle shop Daniel Tweewielers, the photo studio Victory's Foto Expres, houseware store Nomos, the dentist De Tandenpraktijk, and the fast food restaurant Wok Inn."
5260,,Centrum-Oost,52.364788,4.880334,Entire home/apt,75,7,0,,22,265,0,holland,"The area features a mix of nightlife and cultural venues such as Melkweg, Milk, DeLaMar, and Lux, alongside dining at Bar Weber. Accommodations include Boutique Hotel View, Hotel Titus, Kooyk Hotel, Weber Hotel, and Weber Studios. Melkweg and DeLaMar are prominent cultural landmarks that serve as major hubs for live music and theatrical performances in the city."
169,,Centrum-West,52.37142,4.89036,Entire home/apt,399,2,52,0.48,1,103,4,holland,"The area features dining and cafes such as Argus and Diep, alongside retail options like Vintage Clothes & Design and the antiques shop Kabouter. Cultural highlights include the attraction Stadspaleis, the venue Theater De Richel, and the historic Postzegelmarkt, while the surroundings also offer the Postzegelpark, a playground, the Nova Hotel, and outdoor seating."
4777,,Centrum-West,52.3789,4.88378,Entire home/apt,188,7,1,0.15,3,241,1,holland,"The area features dining and retail options including La Reinita Empanadas, Schout bij-nacht, Sins of Sal, Jumbo, Kilo, The Browbarber, and Vivant de Jordaan. You will also find the Lapjesmarkt, a historic textile market, and the Pianola Museum, which preserves the history of self-playing pianos, alongside a public bookcase."
3912,,Oud-Oost,52.35374,4.91188,Entire home/apt,93,3,16,16.0,2,51,11,holland,"The area features dining and social spaces including Werkplaats, Fransje, and Riet, alongside the hotel Volkshotel. Nightlife and event venues are represented by Canvas, Doka, Klein Canvas, Truus, and Badplaats, which includes a hot tub and outdoor seating."
4889,,Zuid,52.35926,4.87847,Private room,74,1,5,0.97,7,330,5,holland,"The area features a variety of retail shops including clothes stores like Caroline Biss, Diesel, Hackett, Hilfiger, Marina Rinaldi, Massimu Dutti, and Petit Bateau, alongside jewelry from Bonebakker and interior decoration at Zara Home. The Conservatorium hotel serves as a prominent landmark, anchoring the neighborhood as a significant destination for luxury hospitality."
2709,,Centrum-Oost,52.36338,4.88307,Private room,74,1,280,6.29,2,340,50,holland,"The area features dining and nightlife options such as Cafe in the City, Boven de Balie, Ron Gastrobar Paris, and Palladium, alongside the Apple Store for electronics and a coworking space at De Balie. Local attractions include the cultural hub De Balie, the lively Leidseplein square, and the green space Kleine-Gartmanplantsoen, which serve as central gathering points for the neighborhood."
5397,,Centrum-Oost,52.36479,4.88033,Entire home/apt,75,7,1,1.0,22,254,1,holland,"The area features a mix of nightlife and cultural venues including Melkweg, Lux, Milk, and the theatre DeLaMar. Accommodations such as Boutique Hotel View, Hotel Titus, Kooyk Hotel, Weber Hotel, and Weber Studios are situated alongside Bar Weber."
3041,,Centrum-Oost,52.36478,4.88033,Entire home/apt,75,7,15,1.08,22,339,3,holland,"The area features a mix of hospitality and nightlife, including Boutique Hotel View, Hotel Titus, Kooyk Hotel, Weber Hotel, and Weber Studios. Cultural venues and bars such as DeLaMar, Melkweg, Bar Weber, Lux, and Milk offer local entertainment and dining options."
4556,,Centrum-West,52.36614,4.88564,Entire home/apt,74,3,4,0.27,1,319,2,holland,"The area features a variety of dining and cafe options including Bagels & Beans, Eichholtz Delicatessen, Gourmet Burger, Morlang, Suite Benedict, and Walem, which offers outdoor seating. Retail and services are represented by Manfield, Prime Fone, The Color, When Nature Calls, and BOXIE24 Opslag huren Amsterdam."
2474,,De Baarsjes - Oud-West,52.36767,4.86774,Entire home/apt,100,5,58,1.23,1,31,7,holland,"The area features dining and retail options such as Bakkerij Paul Année, The Breakfast Club, Kanarie Club, Sener Bikes, and Nail studio, alongside accommodation at Hotel De Hallen. De Hallen serves as a significant local attraction and cultural hub, while Bellamyplein provides green space and public artworks including P.W. Janssen, fish, and waterdraagster."
2713,,Centrum-Oost,52.36338,4.88307,Private room,69,1,235,5.19,2,337,48,holland,"The area features dining and nightlife options including Cafe in the City, Boven de Balie, Ron Gastrobar Paris, and Palladium, alongside the Apple Store for electronics and a coworking space at De Balie. Local attractions include the cultural hub De Balie and the public square Kleine-Gartmanplantsoen, while the nearby Leidseplein serves as a major landmark known for its vibrant concentration of entertainment and nightlife venues."
2902,,De Pijp - Rivierenbuurt,52.35685,4.89652,Private room,120,2,141,3.57,1,10,3,holland,"The area features dining and nightlife options such as Café De Baron and Badcuyp, alongside services including Hairstudio Pu-ma, Skin Project Institute, Dental 220, and Taalhuis Amsterdam. You will also find specialized shops and amenities like Ajax Bike, FermentFabriek, and Résonance."
2177,,De Pijp - Rivierenbuurt,52.35682,4.89633,Entire home/apt,150,7,37,0.7,3,64,3,holland,"The area features local services including Hairstudio Pu-ma, Skin Project Institute, Dental 220, and Taalhuis Amsterdam, alongside retail options like Ajax Bike and Résonance. Social and leisure spots include the pub Café De Baron and the community garden space FermentFabriek."
4942,,Buitenveldert - Zuidas,52.33193,4.87475,Private room,59,2,8,1.44,2,363,8,holland,"The area features retail and dining options including Ekoplaza, The Art of Wines, and van de Raa. Essential services and facilities include Huisartsen MC Gelderlandplein, Medisch Centrum Gelderlandplein, and Bambini BSO."
4875,,De Baarsjes - Oud-West,52.35961,4.85846,Entire home/apt,200,5,1,0.19,1,0,1,holland,"The area features community facilities including Buurtcentrum Cremerplein and Buurthuis Cremerplein. J.J. Cremerplein serves as a local landmark, providing a central green space for recreation and community gatherings."
5346,,De Pijp - Rivierenbuurt,52.357578,4.899054,Entire home/apt,275,7,0,,1,41,0,holland,"The area features dining options including Pasta e Pizza, Saravanaa Bhavan, and Tsunarié, alongside retail and services like De Sleutelkluis, Home Couture by Bernie, Kidzz Eyezz, and TrainMore. The Albert Cuyp-markt is a prominent local landmark and market that serves as a central hub for the neighborhood, complemented by cultural spaces such as Huis van Iemand Anders."
4400,,Centrum-West,52.375519,4.882921,Private room,65,1,79,4.04,2,346,51,holland,"The area features dining and retail options such as De Reiger, Moo!zo, Frame, patina, atelier paradis, Design Studio Lumineus, Dr. Spectacles, and a hairdresser. It also hosts the Theo Thijssen Museum, which is a local landmark dedicated to the life and work of the Dutch writer and teacher."
3104,,De Pijp - Rivierenbuurt,52.35767,4.89973,Entire home/apt,220,3,15,0.49,1,0,3,holland,"The area features dining options including Pasta e Pizza, Tsunarié, and Saravanaa Bhavan, alongside coffee at Kaldi and a pub at Huis van Iemand Anders. Local amenities include the Ibis Styles Amsterdam Amstel hotel, the TrainMore fitness centre, the De Sleutelkluis locksmith, and the Fabric Inspired X Artitude gallery, which serves as a creative cultural space for the neighborhood."
4571,,De Baarsjes - Oud-West,52.35815,4.85627,Private room,74,1,698,44.84,4,365,597,holland,"The area features dining and cafe options including Adam Restaurant, Bar Kosta, Beré Nali, Grillroom Fame, YNK, and schuurmanoomkensgrassotti. Local amenities include the Conscious Hotel Vondelpark, which serves as a notable landmark for its sustainable focus, alongside Drukkerij Overtoom, Kapsalon Utopia, and a public bookcase."
3781,,Centrum-West,52.3826,4.88612,Entire home/apt,225,2,22,1.41,6,76,10,holland,"The area features retail options including The Swap Shop, Hang Eleven, Jis, and Lof, alongside personal care services like Haarstijl and HairPlay. You will also find Gallery238, Keurslagerij Pouw, and the attraction Wine, which contribute to the local cultural and culinary landscape."
2015,,Zuid,52.34851,4.87781,Entire home/apt,224,2,41,0.86,4,341,2,holland,"The area features a variety of daily essentials and specialty food shops including Albert Heijn, Alexanderhoeve, Centrale Vishandel, Holland & Barrett, and Oak Berry, alongside services like Etos, Pearle, and Fleur de Lys. The neighborhood also hosts Hampshire Hotel Beethoven and the educational institution Hervormd Lyceum Zuid."
2032,,De Pijp - Rivierenbuurt,52.3569,4.88915,Entire home/apt,133,7,21,1.33,1,190,9,holland,"The area features dining options such as De Waaghals, ISSHIN, Juno, and Rainbowls, alongside Craft Wine for drinks. You will also find community-focused spots like Buurtkamer Quellijn and a public bookcase, plus services including De Föhnbar and the dancing school Dans Dansen."
1442,,Oud-Oost,52.36199,4.92669,Entire home/apt,93,1,66,0.97,1,0,5,holland,"The area features dining options such as Eethuis Brasa and Nefis Etli Ekmek, alongside retail and services including Lidl, Sportshop van Swinden, Daniela Kastavarac, and Head 2 Head Nuray. Cultural and community life is centered around Atelier Maja Krtsic art diary, Jungle Amsterdam, the pub De Dapper, and the landmark Kalemegdan, which serves as a significant historic fortress and park."
5529,,De Pijp - Rivierenbuurt,52.35645063186075,4.893343990291363,Entire home/apt,65,28,0,,1,47,0,holland,"The area features a variety of retail shops including Byart, The Weavery, MerryXmasShop, and Penny Lane Vintage, alongside specialized services like Mash and Tattoo Friendship. Dining and refreshment options include Café Baskèts, Craft Coffee & Pastry, Dito Deli, and the garden space."
3860,,Bos en Lommer,52.37852,4.84943,Entire home/apt,135,3,6,0.22,1,7,1,holland,"The area features dining options like Boulangerie Nador and Kahvealti, alongside retail shops including De Prijshamer, Primera, and mozaiek carpet center. Local services are provided by ICT Repair, Phoenix Nails, Sabina's hairshop, and Verkeerschool Eros."
3469,,De Pijp - Rivierenbuurt,52.35148,4.89394,Private room,100,2,131,4.06,2,84,26,holland,"The area features diverse dining and retail options including Renato's Pizzeria, Kitchen Impossible, Elevate Coffee Lab, Iambe, Li's Beauty Lounge, and Strips. Local amenities also include Yagoy for fitness, Coffeeshop Papillon, and the music school auf dem Brinke."
413,,De Baarsjes - Oud-West,52.37484,4.86096,Entire home/apt,130,4,76,0.85,1,11,0,holland,"The area features a variety of dining options including Wanica Exotics, Warung Kamal Afhaalcentrum, Tandoori 2 Go, Biladi, and Rue de sevres. Retail and services are represented by Albert Heijn, Chris Bloemsierkunst, SandyBloemen.nl, and George de Jong Optiek."
2641,,De Pijp - Rivierenbuurt,52.35602,4.88901,Entire home/apt,250,2,12,0.28,1,132,0,holland,"The area features a variety of dining options including Boeuf, Brasserie SenT, Juku Japans, Oeuf, Porchetteria, and Layers Bakery & Deli, alongside Reload Coffee for refreshments. You will also find nightlife and retail spots such as La Dilettante, Wijnhandel van Krimpen, and a language school."
5180,,Centrum-West,52.37343,4.88672,Entire home/apt,200,3,2,0.51,1,34,2,holland,"The area features dining and confectionery options such as Il Panorama and Bakkerij Andere Koek, alongside retail shops including The Pelican Studio, Di-Ann, and Bas Optiek. The neighborhood is anchored by the Dam, a historic central square that serves as a major landmark and focal point for the city, and includes lodging at Di-Ann City Centre Hotel, Hotel de Westertoren, La Belle Vue, and Sharm Hotel."
2847,,Oostelijk Havengebied - Indische Buurt,52.3639,4.93921,Entire home/apt,90,5,14,0.33,1,0,4,holland,"The area features dining and cafe options like Coffee Company and FEBO, alongside services including Linux Repair Café, Urban Bloom, and the fitness facility TrainMore. OBA Javaplein serves as a local library and cultural hub, while the surrounding garden and fountain provide a quiet outdoor space for the community."
1909,,Centrum-West,52.36883,4.89309,Private room,61,3,12,0.43,4,354,1,holland,"The area features dining and retail options such as De Laatste Kruimel, La Margarita, and Lyppens. Cultural and educational landmarks include the Allard Pierson Museum and UvA Bijzondere Collecties, which house significant historical archives, alongside the UvA Binnengasthuisterrein university campus and attractions like Rederij Kooij and Rondvaart, which offer canal boat tours."
1929,,De Baarsjes - Oud-West,52.36599,4.87632,Entire home/apt,250,4,19,0.32,1,284,2,holland,"The area features dining and nightlife options such as Gertrude and Toussaint, alongside beauty and wellness services including Beatrijs Smulders, SKIN, and The Laser Lab. Local amenities include the Houseboat Lady Jane guest house, the Slot Meesenstijn playground, and the kindergarten, while the area is anchored by the park and the artwork nearby."
3773,,De Pijp - Rivierenbuurt,52.34424,4.89612,Entire home/apt,450,1,5,0.17,1,0,0,holland,"The area features dining and coffee options including Vork, Zoet & Peper, and gratitude espresso, alongside retail and services like Miller & Canefield, Saudade, Maas wasserette & stomerij, and Siya Lymfe. These spots provide a mix of daily essentials and local leisure within the neighborhood."
3801,,De Baarsjes - Oud-West,52.371,4.86222,Entire home/apt,150,2,39,1.34,9,0,12,holland,"The area features dining and nightlife options such as De Krommert, Steakhouse Gely, Mehtap, and Club 8, alongside retail shops including ALDI, Oz Dostlar Gida Pazari, The Wine Spot, and Davoud Perzische Tapijten. Local green spaces include Natuurtuin Slatuinen, a garden that serves as a quiet natural retreat in the neighborhood."
3486,,Oostelijk Havengebied - Indische Buurt,52.36428,4.93485,Entire home/apt,135,2,26,0.86,1,0,9,holland,"The area features dining and retail options including El Pescado, The Meets, Café Insulinde, IJs van Oost, Kwiyasse, Tabakshop Java, and Zeeman. Personal care services are available at Barbershop Murat and the local hairdresser."
2797,,Centrum-Oost,52.3649,4.88066,Entire home/apt,75,7,36,1.13,22,321,5,holland,"The area features a variety of dining and nightlife options including La Bohème, Bar Weber, Milk, and Lux. Cultural life is centered around Melkweg, a prominent music venue and cultural center, while accommodations include Amsterdam Inn, Hotel Titus, Weber Hotel, and Weber Studios."
2873,,De Baarsjes - Oud-West,52.3741,4.85735,Entire home/apt,200,3,14,0.35,1,0,3,holland,"The area features retail and services including 020 Fietsen Amsterdam, Skate Dokter, de zuivere naald, and L'equipage, alongside community hubs like Boeken Ruilbeurs and the cafe ted. These spots provide local access to bicycle maintenance, tailoring, books, and social spaces."
2899,,De Baarsjes - Oud-West,52.37061,4.8701,Entire home/apt,214,2,28,0.72,1,0,0,holland,"The area features retail and cycling shops such as Decathlon, Freewheel, and Rusty Gold, alongside everyday conveniences including Albert Heijn, Etos, Odin, and Makker. Dining options are represented by Mesut, which serves as a local spot for quick meals."
4757,,Oud-Oost,52.35922,4.92539,Entire home/apt,177,1,13,2.09,6,298,13,holland,"The area features a variety of dining options including Mister Chen Cha House, Poké Perfect, and Hallo, alongside a deli like Avondverkoop. Local services include Cornea Optiek, Dental Care East & West, Linnaeusstraat Massage, and the interior decoration shop All The Luck In The World."
285,,Bos en Lommer,52.37537,4.86019,Private room,108,3,316,3.21,1,220,2,holland,"The area features dining options including Biladi, Rue de sevres, Wanica Exotics, and Warung Kamal Afhaalcentrum, alongside retail and service spots like Etos, LA CHIC, Martins avondwinkel, and Mimi Kapsalon. The local garden serves as a notable green space for the neighborhood."
5076,,Centrum-West,52.37964,4.88193,Entire home/apt,300,2,1,0.27,1,13,1,holland,"The area features local services including Daniel International Hairstylist, MacRepair.nl, Jouw Groenteman, and a wine shop, alongside recreational facilities such as a soccer pitch, a table tennis pitch, and two playgrounds. Noorderspeeltuin is a notable local playground that serves as a key community space for families."
4205,,Oud-Oost,52.36537,4.92648,Private room,105,1,4,0.23,1,80,3,holland,"The area features dining and food options such as Café Wu, L'Abeille, Primo Passo, and Tabakshop Rex, alongside retail services including Dapper Tutto, Dierenspeciaalzaak Oscar, Rogue Razor, and Talay Gordijnenhuis. Dappermarkt serves as a local marketplace and a significant neighborhood landmark, providing a central hub for community commerce."
2302,,Oud-Oost,52.35616,4.90896,Entire home/apt,92,4,21,0.4,1,0,3,holland,"The area features dining and nightlife options including India Roti Room and Five Stars, alongside retail and services such as Bo-Mij, Bo-Rent, Flama Farah, The Plug, Spally's Kickboxing, and Velespit. These local spots provide a mix of daily necessities, fitness, and specialty shops."
1303,,Centrum-West,52.37418,4.89823,Private room,145,2,91,1.44,1,85,3,holland,"The area features dining and cafes such as American Bar-bq, Les Deux Frêres, Koffieschenkerij, Ganache, and Borstplaat, alongside retail options like La Familia and Black Bikes. It is home to the Oude Kerk, a historic landmark and the oldest building in the city, and is situated within de Wallen, a well-known district significant for its deep historical roots and cultural prominence."
874,,De Baarsjes - Oud-West,52.35876,4.85966,Entire home/apt,199,4,40,0.59,1,6,0,holland,"The area features dining options including Don Burrito, Focacceria, Muang Thai, Papa John's, and Toasty!, alongside a local cafe, Supervorm. You will also find retail and services such as Clinic Pure, a tailor, and the cannabis shop Coffeeshop Vondel."
5038,,De Baarsjes - Oud-West,52.366,4.87632,Entire home/apt,338,2,3,0.67,1,96,3,holland,"The area features dining and nightlife options such as Gertrude and Toussaint, alongside beauty and wellness services like Beatrijs Smulders, SKIN, and The Laser Lab. Local amenities include the Slot Meesenstijn park and playground, the Houseboat Lady Jane guest house, and the kindergarten facility."
4545,,Centrum-Oost,52.36512,4.88241,Entire home/apt,164,7,39,2.48,1,357,31,holland,"The area features a variety of dining options including Bombay inn, Gandhi, The Guru of India, Sumo, Takumi Ramen, and Suzie Wong. Nightlife and social venues consist of Café Eijlders, The Waterhole, and Jimmy Woo."
2220,,De Pijp - Rivierenbuurt,52.34336,4.89532,Entire home/apt,305,3,26,0.49,1,162,0,holland,"The area features personal care and retail options including Beauty & Mind, Elisabeth Haarmode, Haar In De Wind, and C. Tuinder & Zn. You will also find specialized beverage shops such as De wijnimport van Arrebol."
4419,,De Pijp - Rivierenbuurt,52.35477,4.89782,Private room,111,1,0,,8,205,0,holland,"The area features Sarphatipark, a notable local park that serves as a central green space for the neighborhood. Nearby, you can also find the Paleisbeeld, an artwork that highlights the artistic character of the surroundings."
2525,,Westerpark,52.38951,4.87912,Private room,65,2,67,1.41,3,331,8,holland,"The area features dining and food options including Dignita Westerpark, Moos, Erol Doner kebab, Jumbo, and Slagerij Westerpark Halal. Essential services are provided by Fietspiraat and Spaarndammer Apotheek."
2728,,Zuid,52.35254,4.88516,Entire home/apt,133,2,173,4.2,2,231,31,holland,"The area features dining and retail options including De Bakkerswinkel, Sabor de Maria, Pizza Beppe, Imiho, Neeve, and Room of Ideas. It also hosts the local Tandartspraktijk de ZuidAs."
33,,Centrum-West,52.36883,4.88749,Private room,265,2,12,0.45,1,343,2,holland,"The area features a mix of cafes and dining options including Lanskroon, Eetcafe Singel 404, Dutch Flowers Coffee Shop, and The Lebanese Sajeria. Retail and services in the neighborhood include Amsterdam Vintage Watches, Amsterdam cheese company, Story Tiles, and Kapsalon Jeroen Bruggeman."
3619,,Oud-Oost,52.35609,4.90872,Entire home/apt,199,2,3,0.73,1,4,3,holland,"The area features retail and service options including Bo-Rent, Bo-Mij, Five Stars, and Flama Farah. Local amenities include the bicycle shop Velespit, the garden center The Plug, and the artwork display."
4193,,Centrum-West,52.37489,4.88098,Private room,94,3,40,1.7,1,89,21,holland,"The area features dining and cafe options including Box Sociaal, Kafenion, and van Ilse, alongside a pub at De Nieuwe Lelie. You will also find retail and services such as Bike City for bicycle rental, Coffeeshop Paradox, and beauty establishments like Tropics."
5228,,Centrum-Oost,52.36444,4.88127,Private room,60,1,5,1.34,20,0,5,holland,"The area features dining and nightlife options including Fantasia Trattoria, Grand Café DeLaMar, La Bohème, and Milk. Cultural life is centered around DeLaMar, Internationaal Theater Amsterdam, and Melkweg, which are prominent theatres and venues that serve as major hubs for performing arts and live entertainment."
